time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
10006,1,1,6,6,10006,10000,10000,10000,0,0,0
27794,2,1,6,6,27794,27788,27788,27788,0,0,0
47452,4,1,10,10,47452,47442,47442,47442,0,0,0
50932,24,1,44506,44506,50932,6426,6426,6426,0,0,0
71728,8,1,17,17,71728,71711,71711,71711,0,0,0
88003,18,1,44488,44488,88003,43515,43515,43515,0,0,0
95121,0,1,0,0,95121,95121,95121,95121,0,1,0
96445,7,1,14,14,96445,96431,96431,96431,0,0,0
138519,11,1,22,22,138519,138497,138497,138497,0,0,0
164380,13,1,26,26,164380,164354,164354,164354,0,0,0
205786,27,1,44508,44508,205786,161278,161278,161278,0,0,0
214591,9,1,18,18,214591,214573,214573,214573,0,0,0
227498,32,1,225010,225010,227498,2488,2488,2488,0,0,0
233159,30,1,224999,224999,233159,8160,8160,8160,0,0,0
249917,22,1,44500,44500,249917,205417,205417,205417,0,0,0
283022,15,1,30,30,283022,282992,282992,282992,0,0,0
329579,33,1,225012,225012,329579,104567,104567,104567,0,0,0
365796,41,4,291313,291313,365796,74483,74483,74483,0,0,0
398384,28,1,224994,224994,398384,173390,173390,173390,0,0,0
399086,25,1,44507,44507,399086,354579,354579,354579,0,0,0
399377,21,1,44498,44498,399377,354879,354879,354879,0,0,0
603106,53,4,510191,510191,603106,92915,92915,92915,0,0,0
621381,38,4,291295,291295,621381,330086,330086,330086,0,0,0
687598,58,4,632338,632338,687598,55260,55260,55260,0,0,0
696856,57,4,632336,632336,696856,64520,64520,64520,0,0,0
712420,55,4,632320,632320,712420,80100,80100,80100,0,0,0
864042,63,2,719754,719754,864042,144288,144288,144288,0,0,0
867065,86,4,810604,810604,867065,56461,56461,56461,0,0,0
970520,16,1,44477,44477,970520,926043,926043,926043,0,0,0
984696,117,2,961023,961023,984696,23673,23673,23673,0,0,0
991611,174,2,961222,961222,991611,30389,30389,30389,0,0,0
999359,124,2,961048,961048,999359,38311,38311,38311,0,0,0
1002479,151,2,961143,961143,1002479,41336,41336,41336,0,0,0
1006279,195,2,961295,961295,1006279,44984,44984,44984,0,0,0
1012266,181,2,961246,961246,1012266,51020,51020,51020,0,0,0
1013464,47,4,343925,343925,1013464,669539,669539,669539,0,0,0
1015311,177,2,961233,961233,1015311,54078,54078,54078,0,0,0
1016884,126,2,961055,961055,1016884,55829,55829,55829,0,0,0
1018751,202,2,961318,961318,1018751,57433,57433,57433,0,0,0
1019046,170,2,961208,961208,1019046,57838,57838,57838,0,0,0
1022086,199,2,961308,961308,1022086,60778,60778,60778,0,0,0
1027060,64,2,719767,719767,1027060,307293,307293,307293,0,0,0
1030754,122,2,961041,961041,1030754,69713,69713,69713,0,0,0
1033257,212,2,961361,961361,1033257,71896,71896,71896,0,0,0
1044154,141,2,961106,961106,1044154,83048,83048,83048,0,0,0
1048758,62,2,719748,719748,1048758,329010,329010,329010,0,0,0
1049861,65,2,719816,719816,1049861,330045,330045,330045,0,0,0
1064984,66,2,719849,719849,1064984,345135,345135,345135,0,0,0
1066313,133,2,961078,961078,1066313,105235,105235,105235,0,0,0
1072947,156,2,961160,961160,1072947,111787,111787,111787,0,0,0
1084508,159,2,961171,961171,1084508,123337,123337,123337,0,0,0
1090899,111,2,961001,961001,1090899,129898,129898,129898,0,0,0
1103498,23,1,44500,44500,1103498,1058998,1058998,1058998,0,0,0
1104681,3,1,6,6,1104681,1104675,1104675,1104675,0,1,0
1121471,142,2,961109,961109,1121471,160362,160362,160362,0,0,0
1140848,34,1,225015,225015,1140848,915833,915833,915833,0,0,0
1194062,168,2,961201,961201,1194062,232861,232861,232861,0,0,0
1197799,12,1,25,25,1197799,1197774,1197774,1197774,0,0,0
1241879,54,4,510211,510211,1241879,731668,731668,731668,0,0,0
1249597,135,2,961086,961086,1249597,288511,288511,288511,0,0,0
1270183,17,1,44477,44477,1270183,1225706,1225706,1225706,0,0,0
1321597,56,4,632320,632320,1321597,689277,689277,689277,0,0,0
1354721,35,1,225016,225016,1354721,1129705,1129705,1129705,0,0,0
1370455,116,2,961019,961019,1370455,409436,409436,409436,0,0,0
