time,max,99th,95th,med
0,7,7,7,7
1456,7,7,7,7
352430,7,7,7,7
352712,7,7,7,7
512614,49.2,49.2,49.2,7
517969,49.2,49.2,49.2,49.2
524706,49.2,49.2,49.2,7
533527,49.2,49.2,49.2,49.2
542432,49.2,49.2,49.2,49.2
559303,49.2,49.2,49.2,49.2
566163,49.2,49.2,49.2,49.2
589714,49.2,49.2,49.2,49.2
597706,49.2,49.2,49.2,49.2
665621,49.2,49.2,49.2,49.2
665969,49.2,49.2,49.2,49.2
672805,49.2,49.2,49.2,49.2
672911,49.2,49.2,49.2,49.2
672933,49.2,49.2,49.2,49.2
672959,49.2,49.2,49.2,49.2
680146,49.2,49.2,49.2,49.2
680163,49.2,49.2,49.2,49.2
700895,49.2,49.2,49.2,49.2
710452,49.2,49.2,49.2,49.2
711640,49.2,49.2,49.2,49.2
773814,49.2,49.2,49.2,49.2
872119,49.2,49.2,49.2,49.2
895207,49.2,49.2,49.2,49.2
929584,49.2,49.2,49.2,49.2
937052,58.8,58.8,58.8,49.2
937075,58.8,58.8,58.8,49.2
937097,58.8,58.8,58.8,49.2
943298,58.8,58.8,58.8,49.2
972336,58.8,58.8,58.8,49.2
972341,58.8,58.8,58.8,49.2
972381,58.8,58.8,58.8,49.2
972384,58.8,58.8,58.8,49.2
972388,58.8,58.8,58.8,49.2
1017657,58.8,58.8,58.8,49.2
1088398,58.8,58.8,58.8,49.2
1121086,58.8,58.8,58.8,49.2
1172065,58.8,58.8,58.8,58.8
1198143,58.8,58.8,58.8,58.8
1198165,58.8,58.8,58.8,58.8
1198187,58.8,58.8,58.8,58.8
1198208,58.8,58.8,58.8,58.8
1198246,58.8,58.8,58.8,58.8
1202315,58.8,58.8,58.8,58.8
1202338,58.8,58.8,58.8,58.8
1202360,58.8,58.8,58.8,58.8
1205035,58.8,58.8,58.8,58.8
1207098,58.8,58.8,58.8,58.8
1209098,58.8,58.8,58.8,58.8
1211878,58.8,58.8,58.8,58.8
1212768,58.8,58.8,58.8,58.8
1214274,58.8,58.8,58.8,58.8
1222021,58.8,58.8,58.8,58.8
1226769,58.8,58.8,58.8,58.8
1238643,58.8,58.8,58.8,58.8
1253912,58.8,58.8,58.8,58.8
1273988,58.8,58.8,58.8,58.8
1274009,58.8,58.8,58.8,58.8
1274032,58.8,58.8,58.8,58.8
1274054,58.8,58.8,58.8,58.8
1274076,58.8,58.8,58.8,58.8
1288816,58.8,58.8,58.8,58.8
1300065,58.8,58.8,58.8,58.8
1300853,58.8,58.8,58.8,58.8
1315692,58.8,58.8,58.8,58.8
1316099,58.8,58.8,58.8,58.8
1333233,58.8,58.8,58.8,58.8
1334260,58.8,58.8,58.8,58.8
1337743,58.8,58.8,58.8,49.2
1339249,58.8,58.8,58.8,49.2
1351155,58.8,58.8,58.8,49.2
1361647,58.8,58.8,58.8,49.2
1362087,58.8,58.8,58.8,49.2
1363741,58.8,58.8,58.8,49.2
1364585,58.8,58.8,58.8,49.2
1366817,58.8,58.8,58.8,49.2
1372226,58.8,58.8,58.8,49.2
1372989,58.8,58.8,58.8,49.2
1379050,58.8,58.8,58.8,49.2
1379074,58.8,58.8,58.8,49.2
1379974,58.8,58.8,58.8,49.2
1382142,58.8,58.8,58.8,49.2
1383820,58.8,58.8,58.8,49.2
1383824,58.8,58.8,58.8,49.2
1384942,58.8,58.8,58.8,49.2
1385826,58.8,58.8,58.8,49.2
1387257,58.8,58.8,58.8,49.2
1408253,58.8,58.8,58.8,49.2
1417104,58.8,58.8,58.8,49.2
1433164,58.8,58.8,58.8,49.2
1433712,58.8,58.8,58.8,58.8
1433935,58.8,58.8,58.8,58.8
1435521,58.8,58.8,58.8,58.8
1440702,58.8,58.8,58.8,58.8
1441858,58.8,58.8,58.8,58.8
1441922,58.8,58.8,58.8,58.8
1447269,58.8,58.8,58.8,58.8
1448138,58.8,58.8,58.8,58.8
1453262,58.8,58.8,58.8,58.8
1457822,58.8,58.8,58.8,58.8
1459295,58.8,58.8,58.8,49.2
1460525,58.8,58.8,58.8,49.2
1461874,58.8,58.8,58.8,49.2
1462978,58.8,58.8,58.8,49.2
1463016,58.8,58.8,58.8,49.2
