time,max,99th,95th,med
0,7,7,7,7
1456,7,7,7,7
352430,7,7,7,7
352712,7,7,7,7
512614,49.2,49.2,49.2,7
517969,49.2,49.2,49.2,49.2
524706,49.2,49.2,49.2,7
533527,49.2,49.2,49.2,49.2
542432,49.2,49.2,49.2,49.2
559303,49.2,49.2,49.2,49.2
566163,49.2,49.2,49.2,49.2
589714,49.2,49.2,49.2,49.2
597706,49.2,49.2,49.2,49.2
665621,49.2,49.2,49.2,49.2
665969,49.2,49.2,49.2,49.2
672805,49.2,49.2,49.2,49.2
672911,49.2,49.2,49.2,49.2
672933,49.2,49.2,49.2,49.2
672959,49.2,49.2,49.2,49.2
680146,49.2,49.2,49.2,49.2
680163,49.2,49.2,49.2,49.2
700895,49.2,49.2,49.2,49.2
710452,49.2,49.2,49.2,49.2
711640,49.2,49.2,49.2,49.2
773814,49.2,49.2,49.2,49.2
872119,49.2,49.2,49.2,49.2
895207,49.2,49.2,49.2,49.2
929584,49.2,49.2,49.2,49.2
937052,58.8,58.8,58.8,49.2
937075,58.8,58.8,58.8,49.2
937097,58.8,58.8,58.8,49.2
943298,58.8,58.8,58.8,58.8
972336,58.8,58.8,58.8,58.8
972341,58.8,58.8,58.8,58.8
972381,58.8,58.8,58.8,58.8
972384,58.8,58.8,58.8,58.8
972388,58.8,58.8,58.8,58.8
1017657,58.8,58.8,58.8,58.8
1088393,58.8,58.8,58.8,58.8
1108976,58.8,58.8,58.8,49.2
1121086,58.8,58.8,58.8,49.2
1151426,58.8,58.8,58.8,49.2
1172065,58.8,58.8,58.8,49.2
1198143,58.8,58.8,58.8,49.2
1198165,58.8,58.8,58.8,49.2
1198187,58.8,58.8,58.8,49.2
1198208,58.8,58.8,58.8,49.2
1198246,58.8,58.8,58.8,49.2
1202315,58.8,58.8,58.8,49.2
1202338,58.8,58.8,58.8,49.2
1202360,58.8,58.8,58.8,49.2
1205035,58.8,58.8,58.8,49.2
1207098,58.8,58.8,58.8,49.2
1209098,58.8,58.8,58.8,49.2
1209494,58.8,58.8,58.8,49.2
1211878,58.8,58.8,58.8,49.2
1212768,58.8,58.8,58.8,49.2
1217530,58.8,58.8,58.8,49.2
1222021,58.8,58.8,58.8,49.2
1224367,58.8,58.8,58.8,49.2
1231904,58.8,58.8,58.8,49.2
1233895,58.8,58.8,58.8,49.2
1273988,58.8,58.8,58.8,49.2
1274009,58.8,58.8,58.8,49.2
1274032,58.8,58.8,58.8,49.2
1274054,58.8,58.8,58.8,49.2
1274076,58.8,58.8,58.8,49.2
1277529,58.8,58.8,58.8,49.2
1288816,58.8,58.8,58.8,49.2
1294832,58.8,58.8,58.8,49.2
1300065,58.8,58.8,58.8,49.2
1300853,58.8,58.8,58.8,49.2
1301124,58.8,58.8,58.8,49.2
1308960,58.8,58.8,58.8,49.2
1315692,58.8,58.8,58.8,49.2
1316099,58.8,58.8,58.8,49.2
1334260,58.8,58.8,58.8,49.2
1361647,58.8,58.8,58.8,49.2
1362087,58.8,58.8,58.8,49.2
1362931,58.8,58.8,58.8,49.2
1363741,58.8,58.8,58.8,49.2
1366817,58.8,58.8,58.8,49.2
1367580,58.8,58.8,58.8,49.2
1371382,58.8,58.8,58.8,49.2
1379050,58.8,58.8,58.8,49.2
1379074,58.8,58.8,58.8,49.2
1379426,58.8,58.8,58.8,58.8
1379974,58.8,58.8,58.8,58.8
1382142,58.8,58.8,58.8,58.8
1382774,58.8,58.8,58.8,58.8
1383820,58.8,58.8,58.8,58.8
1383824,58.8,58.8,58.8,58.8
1385826,58.8,58.8,58.8,58.8
1387257,58.8,58.8,58.8,58.8
1396822,58.8,58.8,58.8,58.8
1405009,58.8,58.8,58.8,58.8
1408253,58.8,58.8,58.8,58.8
1432724,58.8,58.8,58.8,58.8
1435521,58.8,58.8,58.8,58.8
1437296,58.8,58.8,58.8,58.8
1441858,58.8,58.8,58.8,58.8
1441922,58.8,58.8,58.8,58.8
1447269,58.8,58.8,58.8,58.8
1448138,58.8,58.8,58.8,58.8
1453262,58.8,58.8,58.8,58.8
1455344,58.8,58.8,58.8,58.8
1457822,58.8,58.8,58.8,58.8
1461874,58.8,58.8,58.8,58.8
