time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
524706,4,8,512614,512614,524706,12092,12092,12092,0,0,0
559303,1,4,1456,1456,559303,557847,557847,557847,0,0,0
566163,7,8,542432,542432,566163,23731,23731,23731,0,0,0
597706,8,8,589714,589714,597706,7992,7992,7992,0,0,0
700895,16,8,680163,680163,700895,20732,20732,20732,0,0,0
710452,9,8,665621,665621,710452,44831,44831,44831,0,0,0
711640,15,8,680146,680146,711640,31494,31494,31494,0,0,0
872119,17,1,773814,773814,872119,98305,98305,98305,0,0,0
1017657,18,8,895207,895207,1017657,122450,122450,122450,0,0,0
1088393,24,8,972336,972336,1088393,116057,116057,116057,0,0,0
1108976,22,32,937097,943298,1108976,165678,171879,165678,6201,0,0
1121086,5,8,517969,517969,1121086,603117,603117,603117,0,0,0
1151426,23,1,943298,972336,1151426,179090,208128,179090,29038,0,0
1172065,19,8,929584,929584,1172065,242481,242481,242481,0,0,0
1209494,38,8,1207098,1207098,1209494,2396,2396,2396,0,0,0
1211878,6,8,533527,533527,1211878,678351,678351,678351,0,0,0
1217530,37,8,1205035,1205035,1217530,12495,12495,12495,0,0,0
1224367,39,8,1209098,1209098,1224367,15269,15269,15269,0,0,0
1231904,21,32,937075,972336,1231904,259568,294829,259568,35261,0,0
1233895,41,4,1222021,1222021,1233895,11874,11874,11874,0,0,0
1277529,32,8,1198208,1198208,1277529,79321,79321,79321,0,0,0
1294832,47,8,1288816,1288816,1294832,6016,6016,6016,0,0,0
1301124,30,8,1198165,1198165,1301124,102959,102959,102959,0,0,0
1308960,40,8,1212768,1212768,1308960,96192,96192,96192,0,0,0
1334260,2,4,352430,352430,1334260,981830,981830,981830,0,0,0
1362931,53,8,1362087,1362087,1362931,844,844,844,0,0,0
1367580,55,8,1366817,1366817,1367580,763,763,763,0,0,0
1371382,54,8,1363741,1363741,1371382,7641,7641,7641,0,0,0
1379426,48,8,1300065,1300065,1379426,79361,79361,79361,0,0,0
1382774,58,8,1379974,1379974,1382774,2800,2800,2800,0,0,0
1396822,49,8,1300853,1300853,1396822,95969,95969,95969,0,0,0
1405009,57,32,1379074,1379426,1405009,25583,25935,25583,352,0,0
1432724,52,8,1361647,1361647,1432724,71077,71077,71077,0,0,0
1437296,64,8,1408253,1408253,1437296,29043,29043,29043,0,0,0
1455344,65,8,1435521,1435521,1455344,19823,19823,19823,0,0,0
1468415,72,8,1461874,1461874,1468415,6541,6541,6541,0,0,0
1470164,70,8,1453262,1453262,1470164,16902,16902,16902,0,0,0
1479908,71,8,1457822,1457822,1479908,22086,22086,22086,0,0,0
1517459,10,8,665969,665969,1517459,851490,851490,851490,0,0,0
1540778,66,8,1441858,1441858,1540778,98920,98920,98920,0,0,0
1546669,83,8,1529623,1529623,1546669,17046,17046,17046,0,0,0
1552485,85,8,1536518,1536518,1552485,15967,15967,15967,0,0,0
1562119,82,8,1499394,1499394,1562119,62725,62725,62725,0,0,0
1617155,62,8,1385826,1385826,1617155,231329,231329,231329,0,0,0
