time,max,99th,95th,med
0,7,7,7,7
303,12,12,12,12
328,17,17,17,17
103680,22,22,22,22
103686,22,7,7,22
189282,22,12,12,22
198471,22,22,22,22
205455,22,22,22,22
274883,22,22,22,22
380602,22,22,22,22
380626,22,22,22,22
482808,22,22,22,22
482809,22,22,22,22
486181,22,22,22,22
486183,22,22,22,22
486268,22,22,22,22
486397,22,22,22,22
497648,22,22,22,22
542673,22,22,22,22
618920,22,22,22,22
659108,22,22,22,22
659244,22,22,22,22
659689,22,22,22,22
666277,49.2,49.2,49.2,22
677527,49.2,49.2,49.2,22
677552,49.2,49.2,49.2,22
678979,49.2,49.2,49.2,22
681808,49.2,49.2,49.2,22
681903,49.2,49.2,49.2,22
681960,49.2,49.2,49.2,22
682053,49.2,49.2,49.2,22
685458,49.2,49.2,49.2,22
686451,49.2,49.2,49.2,22
689538,49.2,49.2,49.2,22
691498,49.2,49.2,49.2,22
691530,49.2,49.2,49.2,22
691532,49.2,49.2,49.2,49.2
698186,49.2,49.2,49.2,22
698322,49.2,49.2,49.2,22
698355,49.2,49.2,49.2,22
699280,49.2,49.2,49.2,22
699991,49.2,49.2,49.2,22
700542,49.2,49.2,49.2,22
700736,49.2,49.2,49.2,22
702387,49.2,49.2,49.2,22
703043,49.2,49.2,49.2,22
706442,49.2,49.2,49.2,22
707298,49.2,49.2,49.2,22
710902,49.2,49.2,49.2,22
722516,49.2,49.2,49.2,22
731609,49.2,49.2,49.2,22
734387,49.2,49.2,49.2,22
737715,49.2,49.2,49.2,22
743231,49.2,49.2,49.2,22
746173,49.2,49.2,49.2,22
752051,49.2,49.2,49.2,22
756463,49.2,49.2,49.2,22
758467,49.2,49.2,49.2,22
764185,49.2,49.2,49.2,22
765496,49.2,49.2,49.2,22
767080,49.2,49.2,49.2,22
769898,49.2,49.2,49.2,22
770107,49.2,49.2,49.2,22
770166,49.2,49.2,49.2,22
770172,49.2,49.2,49.2,22
772317,49.2,49.2,49.2,22
772476,49.2,49.2,49.2,22
777378,49.2,49.2,49.2,22
784329,49.2,49.2,49.2,22
784631,49.2,49.2,49.2,22
785082,49.2,49.2,49.2,22
786835,49.2,49.2,49.2,22
786896,49.2,49.2,49.2,22
788129,49.2,49.2,49.2,22
788131,49.2,49.2,49.2,22
789453,49.2,49.2,49.2,22
790989,49.2,49.2,49.2,22
791731,49.2,49.2,49.2,22
797570,49.2,49.2,49.2,22
797846,49.2,49.2,49.2,22
797852,49.2,49.2,49.2,22
797872,49.2,49.2,49.2,22
798566,49.2,49.2,49.2,22
799004,49.2,49.2,49.2,22
799132,49.2,49.2,49.2,22
816350,49.2,49.2,49.2,22
828427,49.2,49.2,49.2,22
838439,49.2,49.2,49.2,22
850680,49.2,49.2,49.2,22
851173,49.2,49.2,49.2,22
851193,49.2,49.2,49.2,22
853471,49.2,49.2,49.2,22
853473,49.2,49.2,49.2,22
859912,49.2,49.2,49.2,22
859942,49.2,49.2,49.2,22
860177,49.2,49.2,49.2,22
860230,49.2,49.2,49.2,22
863730,49.2,49.2,49.2,22
865675,49.2,49.2,49.2,22
868412,49.2,49.2,49.2,22
875735,49.2,49.2,49.2,22
881966,49.2,49.2,49.2,22
886247,49.2,49.2,49.2,22
887837,49.2,49.2,49.2,22
892586,49.2,49.2,49.2,22
893892,49.2,49.2,49.2,22
905711,49.2,49.2,49.2,22
914469,49.2,49.2,49.2,22
914753,49.2,49.2,49.2,22
915278,49.2,49.2,49.2,22
916069,49.2,49.2,49.2,22
916934,49.2,49.2,49.2,49.2
919520,49.2,49.2,49.2,49.2
920721,49.2,49.2,49.2,49.2
925798,49.2,49.2,49.2,49.2
927061,49.2,49.2,49.2,49.2
927085,49.2,49.2,49.2,49.2
928926,49.2,49.2,49.2,49.2
933791,49.2,49.2,49.2,49.2
933847,49.2,49.2,49.2,49.2
934096,49.2,49.2,49.2,49.2
934234,49.2,49.2,49.2,49.2
934328,49.2,49.2,49.2,49.2
938126,49.2,49.2,49.2,49.2
939909,49.2,49.2,49.2,49.2
942406,49.2,49.2,49.2,49.2
943745,49.2,49.2,49.2,49.2
944459,49.2,49.2,49.2,49.2
945005,49.2,49.2,49.2,49.2
945497,49.2,49.2,49.2,22
947099,49.2,49.2,49.2,22
949480,49.2,49.2,49.2,22
