time,max,99th,95th,med
0,7,7,7,7
201694,49.2,49.2,49.2,49.2
724670,49.2,49.2,49.2,49.2
945683,49.2,49.2,49.2,49.2
966542,49.2,49.2,49.2,49.2
1245115,49.2,49.2,49.2,49.2
1245337,49.2,49.2,49.2,49.2
1245348,49.2,49.2,49.2,49.2
1245386,49.2,49.2,49.2,49.2
1429823,49.2,49.2,49.2,49.2
1639747,49.2,49.2,49.2,49.2
1714609,49.2,49.2,49.2,49.2
1943248,49.2,49.2,49.2,49.2
1943781,49.2,49.2,49.2,49.2
1943786,49.2,49.2,49.2,49.2
1943792,49.2,49.2,49.2,49.2
1943802,49.2,49.2,49.2,49.2
1943808,49.2,49.2,49.2,49.2
1943813,49.2,49.2,49.2,49.2
1943819,49.2,49.2,49.2,49.2
1943835,49.2,49.2,49.2,49.2
1943846,49.2,49.2,49.2,49.2
1943851,49.2,49.2,49.2,49.2
1943861,49.2,49.2,49.2,49.2
1943873,49.2,49.2,49.2,49.2
1943885,49.2,49.2,49.2,49.2
1943901,49.2,49.2,49.2,49.2
1943907,49.2,49.2,49.2,22
1943923,49.2,49.2,49.2,22
1943927,49.2,49.2,49.2,22
1943932,49.2,49.2,49.2,22
1943937,49.2,49.2,49.2,22
1943942,49.2,49.2,49.2,22
1943947,49.2,49.2,49.2,22
1943953,49.2,49.2,49.2,22
1943959,49.2,49.2,49.2,22
1943965,49.2,49.2,49.2,22
1943971,49.2,49.2,49.2,22
1945158,49.2,49.2,49.2,22
1945383,49.2,49.2,49.2,22
1945403,49.2,49.2,49.2,22
1945408,49.2,49.2,49.2,22
1945418,49.2,49.2,49.2,22
1945454,49.2,49.2,49.2,22
1945464,49.2,49.2,49.2,22
1945474,49.2,49.2,49.2,22
1945483,49.2,49.2,49.2,22
1945499,49.2,49.2,49.2,22
1945503,49.2,49.2,49.2,22
1945509,49.2,49.2,49.2,22
1945514,49.2,49.2,49.2,22
1945520,49.2,49.2,49.2,22
1945545,49.2,49.2,49.2,22
1945550,49.2,49.2,49.2,22
1945555,49.2,49.2,49.2,22
2094682,49.2,49.2,49.2,22
2323019,49.2,49.2,49.2,22
2324998,49.2,49.2,49.2,22
2326954,49.2,49.2,49.2,22
2326970,49.2,49.2,49.2,22
2341107,49.2,49.2,49.2,22
2341194,49.2,49.2,49.2,22
2341233,49.2,49.2,49.2,22
2341283,49.2,49.2,49.2,22
2341345,49.2,49.2,49.2,22
2345983,49.2,49.2,49.2,22
2348780,49.2,49.2,49.2,22
2352468,49.2,49.2,49.2,22
2353317,49.2,49.2,49.2,22
2353391,49.2,49.2,49.2,22
2353402,49.2,49.2,49.2,22
2353425,49.2,49.2,49.2,22
2353435,49.2,49.2,49.2,22
2353463,49.2,49.2,49.2,22
2353471,49.2,49.2,49.2,22
2353483,49.2,49.2,49.2,22
2353494,49.2,49.2,49.2,22
2353516,49.2,49.2,49.2,22
2353524,49.2,49.2,49.2,22
2353535,49.2,49.2,49.2,22
2353564,49.2,49.2,49.2,22
2353630,49.2,49.2,49.2,22
2353661,49.2,49.2,49.2,22
2353718,49.2,49.2,49.2,22
2354619,49.2,49.2,49.2,22
2357366,49.2,49.2,49.2,22
2372731,49.2,49.2,49.2,22
2372737,49.2,49.2,49.2,22
2372744,49.2,49.2,49.2,22
2372749,49.2,49.2,49.2,22
