time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
530126,1,8,70024,70024,530126,460102,460102,460102,0,0,0
665634,32,1,664372,664372,665634,1262,1262,1262,0,0,0
687406,24,16,401067,401067,687406,286339,286339,286339,0,0,0
690043,33,1,664544,664544,690043,25499,25499,25499,0,0,0
709760,18,16,394933,394933,709760,314827,314827,314827,0,0,0
738556,41,1,737793,737793,738556,763,763,763,0,0,0
738937,58,1,737907,737907,738937,1030,1030,1030,0,0,0
738940,57,1,737902,737902,738940,1038,1038,1038,0,0,0
739097,86,1,738163,738163,739097,934,934,934,0,0,0
739292,66,1,737957,737957,739292,1335,1335,1335,0,0,0
739531,55,1,737891,737891,739531,1640,1640,1640,0,0,0
739594,53,1,737875,737875,739594,1719,1719,1719,0,0,0
739818,64,1,737946,737946,739818,1872,1872,1872,0,0,0
742059,38,1,737775,737775,742059,4284,4284,4284,0,0,0
743682,47,1,737837,737837,743682,5845,5845,5845,0,0,0
744183,72,1,737996,737996,744183,6187,6187,6187,0,0,0
745531,71,1,737989,737989,745531,7542,7542,7542,0,0,0
746041,74,1,738019,738019,746041,8022,8022,8022,0,0,0
747545,70,1,737984,737984,747545,9561,9561,9561,0,0,0
748697,56,1,737896,737896,748697,10801,10801,10801,0,0,0
749618,49,1,737849,737849,749618,11769,11769,11769,0,0,0
752834,63,1,737941,737941,752834,14893,14893,14893,0,0,0
753683,85,1,738153,738153,753683,15530,15530,15530,0,0,0
753853,76,1,738038,738038,753853,15815,15815,15815,0,0,0
756513,54,1,737884,737884,756513,18629,18629,18629,0,0,0
756613,83,1,738129,738129,756613,18484,18484,18484,0,0,0
757381,79,1,738082,738082,757381,19299,19299,19299,0,0,0
761865,68,1,737967,737967,761865,23898,23898,23898,0,0,0
763606,42,1,737803,737803,763606,25803,25803,25803,0,0,0
764627,45,1,737821,737821,764627,26806,26806,26806,0,0,0
765097,89,1,738201,738201,765097,26896,26896,26896,0,0,0
768594,39,1,737781,737781,768594,30813,30813,30813,0,0,0
769411,73,1,738002,738002,769411,31409,31409,31409,0,0,0
776812,65,1,737952,737952,776812,38860,38860,38860,0,0,0
780611,62,1,737934,737934,780611,42677,42677,42677,0,0,0
787235,87,1,738170,738170,787235,49065,49065,49065,0,0,0
792330,82,1,738116,738116,792330,54214,54214,54214,0,0,0
813203,78,1,738069,738069,813203,75134,75134,75134,0,0,0
815214,31,1,664358,664358,815214,150856,150856,150856,0,0,0
827604,77,1,738049,738049,827604,89555,89555,89555,0,0,0
837932,40,1,737788,737788,837932,100144,100144,100144,0,0,0
855771,116,8,854211,854211,855771,1560,1560,1560,0,0,0
856384,117,8,854694,854694,856384,1690,1690,1690,0,0,0
859281,124,8,857638,857638,859281,1643,1643,1643,0,0,0
859577,122,8,857621,857634,859577,1943,1956,1943,13,0,0
869190,128,8,857760,859281,869190,9909,11430,9909,1521,0,0
871468,52,1,737868,737868,871468,133600,133600,133600,0,0,0
871560,60,1,737918,737918,871560,133642,133642,133642,0,0,0
885618,119,8,855109,855109,885618,30509,30509,30509,0,0,0
888280,67,1,737962,737962,888280,150318,150318,150318,0,0,0
896466,90,1,738211,738211,896466,158255,158255,158255,0,0,0
899330,48,1,737844,737844,899330,161486,161486,161486,0,0,0
901864,118,8,854728,855115,901864,46749,47136,46749,387,0,0
915449,88,1,738194,738194,915449,177255,177255,177255,0,0,0
925620,133,8,869026,869026,925620,56594,56594,56594,0,0,0
928344,59,1,737912,737912,928344,190432,190432,190432,0,0,0
929965,84,1,738137,738137,929965,191828,191828,191828,0,0,0
936453,120,8,855115,855118,936453,81335,81338,81335,3,0,0
944535,75,1,738025,738025,944535,206510,206510,206510,0,0,0
951024,51,1,737861,737861,951024,213163,213163,213163,0,0,0
952851,80,1,738097,738097,952851,214754,214754,214754,0,0,0
964346,140,4,962109,962109,964346,2237,2237,2237,0,0,0
