time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
7,0,0,0,0,0,0,2,0
13,0,0,0,0,0,0,3,0
21,0,0,0,0,0,0,4,0
27,0,0,0,0,0,0,5,0
34,0,0,0,0,0,0,6,0
41,0,0,0,0,0,0,7,0
47,0,0,0,0,0,0,8,0
54,0,0,0,0,0,0,9,0
61,0,0,0,0,0,0,10,0
68,0,0,0,0,0,0,11,0
75,0,0,0,0,0,0,12,0
82,0,0,0,0,0,0,13,0
89,0,0,0,0,0,0,14,0
95,0,0,0,0,0,0,15,0
101,0,0,0,0,0,0,16,0
108,0,0,0,0,0,0,17,0
114,0,0,0,0,0,0,18,0
120,0,0,0,0,0,0,19,0
128,0,0,0,0,0,0,20,0
136,0,0,0,0,0,0,21,0
142,0,0,0,0,0,0,22,0
3250,0,0,0,0,0,0,22,0
3257,0,0,0,0,0,0,22,0
3263,0,0,0,0,0,0,22,0
3271,0,0,0,0,0,0,22,0
3277,0,0,0,0,0,0,22,0
3284,0,0,0,0,0,0,22,0
3291,0,0,0,0,0,0,22,0
3297,0,0,0,0,0,0,22,0
3304,0,0,0,0,0,0,22,0
3311,0,0,0,0,0,0,22,0
3318,0,0,0,0,0,0,22,0
3325,0,0,0,0,0,0,22,0
3332,0,0,0,0,0,0,22,0
3339,0,0,0,0,0,0,22,0
3345,0,0,0,0,0,0,22,0
3351,0,0,0,0,0,0,22,0
3358,0,0,0,0,0,0,22,0
3364,0,0,0,0,0,0,22,0
3370,0,0,0,0,0,0,22,0
3378,0,0,0,0,0,0,22,0
3386,0,0,0,0,0,0,22,0
3392,0,0,0,0,0,0,22,0
7200,0,0,0,0,0,0,22,0
7207,0,0,0,0,0,0,22,0
7213,0,0,0,0,0,0,22,0
7221,0,0,0,0,0,0,22,0
7227,0,0,0,0,0,0,22,0
7234,0,0,0,0,0,0,22,0
7241,0,0,0,0,0,0,22,0
7247,0,0,0,0,0,0,22,0
7254,0,0,0,0,0,0,22,0
7261,0,0,0,0,0,0,22,0
7268,0,0,0,0,0,0,22,0
7275,0,0,0,0,0,0,22,0
7282,0,0,0,0,0,0,22,0
7289,0,0,0,0,0,0,22,0
7295,0,0,0,0,0,0,22,0
7301,0,0,0,0,0,0,22,0
7308,0,0,0,0,0,0,22,0
7314,0,0,0,0,0,0,22,0
7320,0,0,0,0,0,0,22,0
7328,0,0,0,0,0,0,22,0
7336,0,0,0,0,0,0,22,0
7342,0,0,0,0,0,0,22,0
692576,0,0,0,0,0,0,23,0
693533,0,0,0,0,0,0,24,0
695826,0,0,0,0,0,0,24,0
696783,0,0,0,0,0,0,24,0
699776,0,0,0,0,0,0,24,0
700252,0,0,0,0,0,0,25,0
700733,0,0,0,0,0,0,25,0
702587,0,0,0,0,0,0,26,0
702691,0,0,0,0,0,0,27,0
702715,0,0,0,0,0,0,28,0
703502,0,0,0,0,0,0,28,0
703872,0,0,0,0,0,0,29,0
704225,0,0,0,0,0,0,30,0
704279,0,0,0,0,0,0,31,0
704345,0,0,0,0,0,0,32,0
704390,0,0,0,0,0,0,33,0
705837,0,0,0,0,0,0,33,0
705941,0,0,0,0,0,0,33,0
705965,0,0,0,0,0,0,33,0
707122,0,0,0,0,0,0,33,0
707452,0,0,0,0,0,0,33,0
707475,0,0,0,0,0,0,33,0
707529,0,0,0,0,0,0,33,0
707595,0,0,0,0,0,0,33,0
707640,0,0,0,0,0,0,33,0
709787,0,0,0,0,0,0,33,0
709891,0,0,0,0,0,0,33,0
709915,0,0,0,0,0,0,33,0
711072,0,0,0,0,0,0,33,0
711425,0,0,0,0,0,0,33,0
711479,0,0,0,0,0,0,33,0
711545,0,0,0,0,0,0,33,0
711590,0,0,0,0,0,0,33,0
725761,0,0,0,0,0,0,32,1
732022,0,0,0,0,0,0,31,2
753467,0,0,0,0,0,0,30,3
935511,0,0,0,0,0,0,31,3
936386,0,0,0,0,0,0,32,3
937920,0,0,0,0,0,0,33,3
937949,0,0,0,0,0,0,34,3
938081,0,0,0,0,0,0,35,3
938113,0,0,0,0,0,0,36,3
938166,0,0,0,0,0,0,37,3
938190,0,0,0,0,0,0,38,3
938192,0,0,0,0,0,0,39,3
938761,0,0,0,0,0,0,39,3
939636,0,0,0,0,0,0,39,3
941170,0,0,0,0,0,0,39,3
941199,0,0,0,0,0,0,39,3
941331,0,0,0,0,0,0,39,3
941363,0,0,0,0,0,0,39,3
941416,0,0,0,0,0,0,39,3
941440,0,0,0,0,0,0,39,3
941442,0,0,0,0,0,0,39,3
942711,0,0,0,0,0,0,39,3
943586,0,0,0,0,0,0,39,3
945120,0,0,0,0,0,0,39,3
945149,0,0,0,0,0,0,39,3
945281,0,0,0,0,0,0,39,3
945313,0,0,0,0,0,0,39,3
945366,0,0,0,0,0,0,39,3
945390,0,0,0,0,0,0,39,3
945392,0,0,0,0,0,0,39,3
950582,0,0,0,0,0,0,40,3
953832,0,0,0,0,0,0,40,3
957782,0,0,0,0,0,0,40,3
957788,0,0,0,0,0,0,39,4
959294,0,0,0,0,0,0,40,4
959881,0,0,0,0,0,0,41,4
959896,0,0,0,0,0,0,40,5
960029,0,0,0,0,0,0,41,5
960056,0,0,0,0,0,0,42,5
960601,0,0,0,0,0,0,43,5
960625,0,0,0,0,0,0,44,5
960756,0,0,0,0,0,0,45,5
961107,0,0,0,0,0,0,46,5
961139,0,0,0,0,0,0,47,5
961167,0,0,0,0,0,0,48,5
962544,0,0,0,0,0,0,48,5
963131,0,0,0,0,0,0,48,5
963279,0,0,0,0,0,0,48,5
963306,0,0,0,0,0,0,48,5
963851,0,0,0,0,0,0,48,5
963875,0,0,0,0,0,0,48,5
964006,0,0,0,0,0,0,48,5
964357,0,0,0,0,0,0,48,5
964389,0,0,0,0,0,0,48,5
964417,0,0,0,0,0,0,48,5
966494,0,0,0,0,0,0,48,5
967081,0,0,0,0,0,0,48,5
967229,0,0,0,0,0,0,48,5
967256,0,0,0,0,0,0,48,5
967801,0,0,0,0,0,0,48,5
967825,0,0,0,0,0,0,48,5
967956,0,0,0,0,0,0,48,5
968307,0,0,0,0,0,0,48,5
968339,0,0,0,0,0,0,48,5
968367,0,0,0,0,0,0,48,5
968529,0,0,0,0,0,0,49,5
968562,0,0,0,0,0,0,50,5
968605,0,0,0,0,0,0,51,5
968944,0,0,0,0,0,0,52,5
971779,0,0,0,0,0,0,52,5
971812,0,0,0,0,0,0,52,5
971855,0,0,0,0,0,0,52,5
972194,0,0,0,0,0,0,52,5
