time,max,99th,95th,med
0,7.0,7.0,7.0,7.0
6,22.0,22.0,22.0,22.0
10,27.0,27.0,27.0,27.0
11,32.0,32.0,32.0,32.0
12,37.0,37.0,37.0,37.0
14,42.0,42.0,42.0,42.0
17,42.0,7.0,7.0,42.0
18,42.0,12.0,12.0,42.0
21,42.0,17.0,17.0,42.0
22,42.0,22.0,22.0,42.0
25,42.0,27.0,27.0,42.0
26,42.0,32.0,32.0,42.0
29,42.0,37.0,37.0,42.0
30,42.0,42.0,42.0,42.0
10006,42.0,37.0,37.0,42.0
27794,42.0,32.0,32.0,42.0
44477,42.0,42.0,42.0,42.0
44488,42.0,42.0,42.0,42.0
44497,42.0,42.0,42.0,42.0
44498,42.0,42.0,42.0,42.0
44500,42.0,42.0,42.0,42.0
44506,42.0,42.0,42.0,42.0
44507,42.0,42.0,42.0,42.0
44508,42.0,42.0,42.0,42.0
47452,42.0,42.0,42.0,42.0
50932,42.0,42.0,42.0,42.0
71728,42.0,42.0,42.0,42.0
88003,42.0,42.0,42.0,42.0
95121,42.0,42.0,42.0,42.0
96445,42.0,42.0,42.0,42.0
138519,42.0,42.0,42.0,42.0
164380,42.0,42.0,42.0,42.0
205786,42.0,42.0,42.0,42.0
214591,42.0,42.0,42.0,42.0
224994,42.0,42.0,42.0,42.0
224997,42.0,42.0,42.0,42.0
224999,42.0,42.0,42.0,42.0
225000,42.0,42.0,42.0,42.0
225010,42.0,42.0,42.0,42.0
225012,42.0,42.0,42.0,42.0
225015,42.0,42.0,42.0,42.0
225016,42.0,42.0,42.0,42.0
227498,42.0,42.0,42.0,42.0
233159,42.0,42.0,42.0,42.0
249917,42.0,42.0,42.0,42.0
283022,42.0,42.0,42.0,42.0
291278,42.0,42.0,42.0,42.0
291287,42.0,42.0,42.0,42.0
291295,42.0,27.0,27.0,27.0
291300,42.0,27.0,27.0,27.0
291309,42.0,27.0,27.0,27.0
291313,42.0,27.0,27.0,27.0
291315,42.0,27.0,27.0,27.0
291317,42.0,27.0,27.0,27.0
329579,42.0,27.0,27.0,22.0
343915,42.0,27.0,27.0,22.0
343918,27.0,27.0,27.0,27.0
343923,27.0,27.0,27.0,27.0
343925,42.0,27.0,27.0,12.0
343968,42.0,27.0,27.0,12.0
343982,42.0,27.0,27.0,12.0
343996,42.0,27.0,27.0,12.0
343999,42.0,27.0,27.0,12.0
365796,27.0,27.0,27.0,22.0
398384,27.0,27.0,27.0,17.0
399086,27.0,27.0,27.0,12.0
399377,27.0,27.0,27.0,12.0
510176,27.0,27.0,27.0,12.0
510191,27.0,27.0,27.0,12.0
510211,27.0,27.0,27.0,12.0
603106,27.0,27.0,27.0,12.0
621381,27.0,27.0,27.0,12.0
632320,27.0,27.0,27.0,12.0
632336,27.0,27.0,27.0,12.0
632338,27.0,27.0,27.0,12.0
687598,27.0,27.0,27.0,12.0
696856,27.0,27.0,27.0,12.0
712420,27.0,27.0,27.0,12.0
719719,27.0,27.0,27.0,12.0
719728,27.0,27.0,27.0,12.0
719742,27.0,27.0,27.0,12.0
719748,27.0,27.0,27.0,22.0
719754,37.0,27.0,27.0,12.0
719767,32.0,32.0,32.0,12.0
719816,27.0,27.0,27.0,12.0
719849,27.0,27.0,27.0,22.0
769021,27.0,27.0,27.0,22.0
769058,27.0,27.0,27.0,22.0
769060,27.0,27.0,27.0,22.0
769074,27.0,27.0,27.0,22.0
769093,27.0,27.0,27.0,22.0
769100,27.0,27.0,27.0,22.0
769106,27.0,27.0,27.0,17.0
769128,27.0,27.0,27.0,17.0
810492,32.0,27.0,27.0,17.0
810498,32.0,27.0,27.0,17.0
810513,32.0,27.0,27.0,17.0
810521,27.0,27.0,27.0,17.0
810528,27.0,27.0,27.0,17.0
810542,27.0,27.0,27.0,17.0
810548,27.0,27.0,27.0,17.0
810564,32.0,27.0,27.0,17.0
810573,32.0,27.0,27.0,17.0
810588,27.0,27.0,27.0,17.0
810604,32.0,27.0,22.0,17.0
810619,32.0,27.0,22.0,17.0
810624,32.0,27.0,22.0,17.0
810916,32.0,27.0,27.0,12.0
810994,32.0,27.0,22.0,12.0
810997,32.0,27.0,27.0,12.0
864042,37.0,27.0,22.0,12.0
867065,27.0,27.0,27.0,12.0
960932,27.0,27.0,27.0,12.0
960936,27.0,27.0,27.0,17.0
960939,27.0,27.0,27.0,17.0
960944,27.0,27.0,27.0,17.0
960948,27.0,27.0,22.0,17.0
960951,27.0,27.0,22.0,17.0
960956,27.0,27.0,22.0,17.0
960960,27.0,27.0,27.0,17.0
960964,27.0,27.0,27.0,17.0
960968,27.0,27.0,27.0,17.0
960971,27.0,27.0,27.0,17.0
960974,27.0,27.0,27.0,17.0
960978,27.0,27.0,27.0,17.0
960981,27.0,27.0,27.0,17.0
960985,27.0,27.0,27.0,17.0
960989,27.0,27.0,27.0,17.0
960993,27.0,27.0,27.0,17.0
960997,27.0,27.0,27.0,17.0
961001,27.0,27.0,22.0,17.0
961004,32.0,27.0,27.0,17.0
961008,32.0,27.0,27.0,17.0
961011,32.0,27.0,27.0,17.0
961015,32.0,27.0,27.0,17.0
961019,27.0,22.0,22.0,17.0
961023,37.0,27.0,27.0,17.0
961026,37.0,27.0,22.0,17.0
961030,37.0,27.0,22.0,17.0
961033,37.0,27.0,22.0,17.0
961036,37.0,27.0,22.0,17.0
961041,32.0,32.0,22.0,17.0
961045,32.0,32.0,22.0,17.0
961048,27.0,27.0,27.0,17.0
961051,27.0,27.0,27.0,17.0
961055,27.0,27.0,27.0,17.0
961058,27.0,27.0,27.0,17.0
961062,32.0,27.0,27.0,17.0
961065,32.0,27.0,27.0,17.0
961069,27.0,27.0,27.0,17.0
961072,27.0,27.0,27.0,17.0
961075,27.0,27.0,27.0,17.0
961078,37.0,27.0,27.0,17.0
961082,37.0,27.0,27.0,17.0
961086,32.0,27.0,22.0,17.0
961089,32.0,27.0,22.0,17.0
961092,32.0,32.0,27.0,17.0
961095,32.0,32.0,27.0,17.0
961099,32.0,32.0,27.0,17.0
961102,32.0,32.0,27.0,17.0
961106,32.0,27.0,27.0,17.0
961109,27.0,27.0,22.0,17.0
961114,27.0,27.0,22.0,17.0
961118,32.0,27.0,27.0,17.0
961121,32.0,27.0,27.0,17.0
961125,32.0,27.0,27.0,17.0
961129,32.0,27.0,27.0,17.0
961132,32.0,27.0,27.0,17.0
961136,32.0,27.0,27.0,17.0
961140,32.0,27.0,27.0,17.0
961143,32.0,27.0,27.0,17.0
961147,32.0,27.0,27.0,17.0
961150,32.0,27.0,27.0,17.0
961153,27.0,27.0,27.0,17.0
961157,27.0,27.0,27.0,17.0
961160,32.0,32.0,27.0,17.0
961164,32.0,32.0,27.0,17.0
961168,32.0,32.0,27.0,17.0
961171,32.0,32.0,27.0,17.0
961174,32.0,27.0,27.0,17.0
961178,32.0,27.0,27.0,17.0
961181,32.0,32.0,27.0,17.0
961185,32.0,32.0,27.0,17.0
961188,32.0,32.0,27.0,17.0
961191,32.0,32.0,27.0,17.0
961194,32.0,32.0,27.0,17.0
961197,32.0,32.0,27.0,17.0
961201,32.0,27.0,22.0,17.0
961204,27.0,27.0,22.0,17.0
961208,32.0,27.0,27.0,17.0
961211,32.0,27.0,27.0,17.0
961215,32.0,27.0,27.0,17.0
961218,32.0,27.0,27.0,17.0
961222,32.0,27.0,27.0,17.0
961225,32.0,27.0,27.0,17.0
961229,32.0,27.0,27.0,17.0
961233,32.0,27.0,22.0,17.0
961236,32.0,27.0,22.0,17.0
961239,32.0,27.0,22.0,17.0
961242,32.0,27.0,22.0,17.0
961246,32.0,27.0,27.0,17.0
961249,32.0,27.0,27.0,17.0
961253,32.0,27.0,27.0,17.0
961256,32.0,27.0,27.0,17.0
961259,32.0,27.0,27.0,17.0
961263,32.0,27.0,27.0,17.0
961267,32.0,27.0,27.0,17.0
961270,32.0,27.0,27.0,17.0
961273,32.0,27.0,27.0,17.0
961277,32.0,27.0,27.0,17.0
961280,32.0,27.0,27.0,17.0
961283,32.0,27.0,27.0,17.0
961287,32.0,27.0,22.0,17.0
961290,32.0,27.0,27.0,17.0
961295,32.0,27.0,27.0,17.0
961298,32.0,27.0,27.0,17.0
961301,32.0,27.0,27.0,17.0
961305,27.0,27.0,27.0,17.0
961308,32.0,27.0,27.0,17.0
961312,32.0,27.0,27.0,17.0
961315,32.0,27.0,27.0,17.0
961318,32.0,32.0,27.0,17.0
961325,32.0,32.0,27.0,17.0
961329,32.0,32.0,27.0,17.0
961332,32.0,27.0,27.0,17.0
961336,32.0,27.0,27.0,17.0
961339,32.0,27.0,27.0,17.0
961343,32.0,32.0,27.0,17.0
961346,32.0,32.0,27.0,17.0
961349,32.0,32.0,27.0,17.0
961356,32.0,32.0,27.0,17.0
961361,32.0,27.0,27.0,17.0
961366,32.0,27.0,27.0,17.0
970520,32.0,27.0,22.0,17.0
984696,27.0,27.0,22.0,17.0
991611,32.0,27.0,27.0,17.0
999359,32.0,27.0,22.0,17.0
1002479,32.0,27.0,22.0,17.0
1006279,27.0,27.0,22.0,17.0
1012266,32.0,27.0,27.0,17.0
1013464,32.0,27.0,22.0,17.0
1015311,27.0,27.0,22.0,17.0
1016884,32.0,27.0,27.0,17.0
1018751,32.0,27.0,22.0,17.0
1019046,32.0,27.0,22.0,17.0
1022086,27.0,27.0,22.0,17.0
1027060,32.0,27.0,27.0,17.0
1030754,32.0,27.0,22.0,17.0
1033257,32.0,27.0,22.0,17.0
1044154,27.0,27.0,22.0,17.0
1048758,32.0,27.0,27.0,17.0
1049861,32.0,27.0,22.0,17.0
1064984,32.0,27.0,22.0,17.0
1066313,27.0,27.0,22.0,17.0
1072947,32.0,27.0,27.0,17.0
1084508,32.0,27.0,22.0,17.0
1090899,32.0,27.0,22.0,17.0
1103498,32.0,32.0,22.0,17.0
1104681,27.0,27.0,22.0,17.0
1121471,32.0,27.0,22.0,17.0
1140848,27.0,27.0,22.0,17.0
1194062,32.0,27.0,22.0,17.0
1197799,27.0,22.0,22.0,17.0
1241879,32.0,27.0,22.0,17.0
1249597,27.0,27.0,22.0,17.0
1270183,32.0,27.0,22.0,17.0
1321597,32.0,27.0,22.0,17.0
1354721,32.0,27.0,22.0,17.0
1370455,27.0,27.0,22.0,17.0
1413576,27.0,22.0,22.0,17.0
1419824,32.0,27.0,22.0,17.0
1448541,27.0,27.0,22.0,17.0
1470543,27.0,22.0,22.0,17.0
1479012,32.0,27.0,22.0,17.0
1491012,27.0,27.0,22.0,17.0
1513709,27.0,22.0,22.0,17.0
1574674,27.0,22.0,22.0,17.0
1631892,32.0,27.0,22.0,17.0
1635696,27.0,27.0,22.0,17.0
1657737,27.0,22.0,22.0,17.0
1730146,27.0,22.0,22.0,17.0
1730160,32.0,27.0,22.0,17.0
1730161,32.0,27.0,22.0,17.0
1730177,32.0,27.0,22.0,17.0
1730179,32.0,27.0,22.0,17.0
1730194,32.0,27.0,22.0,17.0
1730199,32.0,27.0,22.0,17.0
1730202,32.0,27.0,22.0,17.0
1730215,32.0,27.0,22.0,17.0
1730216,22.0,22.0,22.0,17.0
1730223,22.0,22.0,22.0,17.0
1743036,27.0,22.0,22.0,17.0
1743040,32.0,22.0,22.0,17.0
1743044,22.0,22.0,22.0,17.0
1743049,22.0,22.0,22.0,17.0
1743052,22.0,22.0,22.0,17.0
1743056,22.0,22.0,22.0,17.0
1743063,22.0,22.0,22.0,17.0
1743067,22.0,22.0,22.0,17.0
1743072,27.0,27.0,22.0,17.0
1743075,27.0,27.0,22.0,17.0
1743079,32.0,27.0,22.0,17.0
1743083,32.0,27.0,22.0,17.0
1743086,27.0,22.0,22.0,17.0
1743092,27.0,22.0,22.0,17.0
1743099,27.0,22.0,22.0,17.0
1743103,27.0,22.0,22.0,17.0
1743106,27.0,22.0,22.0,17.0
1743111,27.0,22.0,22.0,17.0
1743115,27.0,22.0,22.0,17.0
1743118,27.0,22.0,22.0,17.0
1743121,27.0,22.0,22.0,17.0
1743125,27.0,27.0,22.0,17.0
1743130,32.0,27.0,22.0,17.0
1743133,32.0,27.0,22.0,17.0
1743137,32.0,27.0,22.0,17.0
1743140,32.0,27.0,22.0,17.0
1743145,22.0,22.0,22.0,17.0
1743149,27.0,22.0,22.0,17.0
1743159,27.0,22.0,22.0,17.0
1743163,27.0,22.0,22.0,17.0
1743167,27.0,22.0,22.0,17.0
1743175,27.0,27.0,22.0,17.0
1743187,27.0,27.0,22.0,17.0
1743190,32.0,27.0,22.0,17.0
1743194,27.0,22.0,22.0,17.0
1743198,27.0,22.0,22.0,17.0
1743209,27.0,22.0,22.0,17.0
1743212,27.0,22.0,22.0,17.0
1743219,22.0,22.0,22.0,17.0
1762890,27.0,27.0,22.0,17.0
1786147,32.0,27.0,22.0,17.0
1796716,27.0,27.0,22.0,17.0
1799358,22.0,22.0,22.0,17.0
1807517,27.0,27.0,22.0,17.0
1809282,32.0,27.0,22.0,17.0
1816253,27.0,27.0,22.0,17.0
1820420,22.0,22.0,22.0,17.0
1820651,27.0,27.0,22.0,17.0
1820655,32.0,27.0,22.0,17.0
1829625,32.0,27.0,22.0,17.0
1829629,27.0,27.0,22.0,17.0
1829632,27.0,22.0,22.0,17.0
1829645,27.0,22.0,22.0,17.0
1829649,27.0,27.0,22.0,17.0
1829653,27.0,27.0,22.0,17.0
1829663,27.0,27.0,22.0,17.0
1829671,27.0,27.0,22.0,17.0
1829675,32.0,27.0,22.0,17.0
1829683,27.0,22.0,22.0,17.0
1829691,27.0,22.0,22.0,17.0
1829695,27.0,27.0,22.0,17.0
1829698,27.0,27.0,22.0,17.0
1829702,27.0,27.0,22.0,17.0
1829707,27.0,27.0,22.0,17.0
1829716,27.0,27.0,22.0,17.0
1829720,27.0,27.0,27.0,17.0
1829724,27.0,27.0,27.0,17.0
1829727,27.0,27.0,27.0,17.0
1837887,32.0,27.0,27.0,17.0
1837896,32.0,27.0,27.0,17.0
1837914,32.0,32.0,22.0,17.0
1837922,32.0,27.0,22.0,17.0
1837931,27.0,27.0,22.0,17.0
1837940,27.0,27.0,22.0,17.0
1837949,32.0,32.0,27.0,17.0
1837957,32.0,27.0,27.0,17.0
1837969,32.0,32.0,27.0,17.0
1837978,32.0,32.0,27.0,17.0
1837987,32.0,32.0,27.0,17.0
1837996,32.0,32.0,27.0,17.0
1838005,32.0,27.0,27.0,17.0
1838014,37.0,32.0,27.0,17.0
1838022,37.0,32.0,27.0,17.0
1838038,37.0,32.0,27.0,17.0
1838046,37.0,32.0,27.0,17.0
1838055,37.0,32.0,27.0,17.0
1838064,37.0,27.0,27.0,17.0
1838073,37.0,32.0,27.0,17.0
1838081,37.0,27.0,27.0,17.0
1838090,37.0,32.0,27.0,17.0
1838105,42.0,32.0,27.0,17.0
1838115,42.0,32.0,27.0,17.0
1838123,42.0,32.0,27.0,17.0
1838132,42.0,32.0,27.0,17.0
1838141,42.0,32.0,27.0,17.0
1838151,42.0,32.0,27.0,22.0
1838162,42.0,32.0,27.0,22.0
1838174,42.0,32.0,27.0,22.0
1838185,42.0,32.0,27.0,22.0
1838201,42.0,27.0,27.0,17.0
